job_id,asset_id,section_id,department,job_type,criticality,condition_score,age_days,days_since_last_maint,dept_code,safety_code,section_speed,section_length,is_statutory,latent_degradation_factor,true_priority,true_duration_p50,true_duration_p90,cost_of_waiting
HIST-JOB-00001,AST-ENG-0016,SEC-NDLS-GZB-UP,ENGINEERING,BALLAST_CLEANING_BCM,3,0.903,631,62,0,3,130,25.5,1,0.99,0.27,115,146,0.95
HIST-JOB-00002,AST-ENG-0113,SEC-NDLS-GZB-DN,ENGINEERING,TRACK_TAMPING_AND_ALIGNMENT,4,0.752,1012,268,0,3,130,25.5,0,0.527,0.446,99,138,2.34
HIST-JOB-00003,AST-S_A-0048,SEC-ALJN-CNB-UP,S_AND_T,SIGNAL_LED_ASPECT_REPLACEMENT,3,0.854,713,226,2,0,130,302.0,0,0.911,0.318,27,38,1.27
HIST-JOB-00004,AST-S_A-0194,SEC-NDLS-GZB-UP,S_AND_T,TRACK_CIRCUIT_TUNING_AND_CALIBRATION,5,0.561,1530,186,2,2,130,25.5,0,1.123,0.63,44,54,4.35
HIST-JOB-00005,AST-ENG-0120,SEC-ALJN-CNB-UP,ENGINEERING,TRACK_TAMPING_AND_ALIGNMENT,4,0.651,1541,305,0,3,130,302.0,0,0.906,0.533,91,127,3.22
HIST-JOB-00006,AST-ENG-0137,SEC-GZB-ALJN-DN,ENGINEERING,BALLAST_CLEANING_BCM,3,0.686,1198,242,0,3,140,106.0,0,1.089,0.407,108,166,1.98
HIST-JOB-00007,AST-ENG-0167,SEC-ALJN-CNB-UP,ENGINEERING,TRACK_TAMPING_AND_ALIGNMENT,4,0.855,1062,93,0,3,130,302.0,0,0.796,0.384,99,132,1.79
HIST-JOB-00008,AST-ENG-0162,SEC-NDLS-GZB-DN,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.661,191,171,0,2,130,25.5,0,1.047,0.61,70,112,4.11
HIST-JOB-00009,AST-TRD-0300,SEC-ALJN-CNB-DN,TRD,OHE_CONTACT_WIRE_INSPECTION,5,0.925,1939,83,1,1,130,302.0,0,0.5,0.443,60,108,2.31
HIST-JOB-00010,AST-S_A-0057,SEC-ALJN-CNB-UP,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.688,1695,195,2,2,130,302.0,0,1.187,0.609,24,41,4.1
HIST-JOB-00011,AST-ENG-0059,SEC-ALJN-CNB-DN,ENGINEERING,RAIL_FASTENING_REPLACEMENT,3,0.778,320,207,0,0,130,302.0,0,1.202,0.3,39,49,1.15
HIST-JOB-00012,AST-TRD-0092,SEC-ALJN-CNB-DN,TRD,CANTILEVER_ADJUSTMENT,3,0.879,1453,67,1,1,130,302.0,1,1.564,0.33,45,81,1.36
HIST-JOB-00013,AST-ENG-0166,SEC-ALJN-CNB-DN,ENGINEERING,BALLAST_CLEANING_BCM,3,0.968,874,88,0,3,130,302.0,0,0.893,0.247,118,145,0.81
HIST-JOB-00014,AST-S_A-0291,SEC-NDLS-GZB-UP,S_AND_T,INTERLOCKING_CABLE_MEGGERING,4,0.74,518,195,2,0,130,25.5,0,1.106,0.437,33,62,2.25
HIST-JOB-00015,AST-ENG-0217,SEC-NDLS-GZB-UP,ENGINEERING,TRACK_TAMPING_AND_ALIGNMENT,4,0.823,575,75,0,3,130,25.5,1,0.948,0.387,98,144,1.81
HIST-JOB-00016,AST-TRD-0062,SEC-ALJN-CNB-UP,TRD,OHE_CONTACT_WIRE_INSPECTION,5,0.798,883,169,1,1,130,302.0,0,0.5,0.548,68,99,3.39
HIST-JOB-00017,AST-TRD-0017,SEC-NDLS-GZB-DN,TRD,INSULATOR_WASHING_AND_REPLACEMENT,4,0.527,1002,311,1,1,130,25.5,0,1.047,0.606,39,57,4.06
HIST-JOB-00018,AST-TRD-0243,SEC-NDLS-GZB-UP,TRD,CROSSOVER_OHE_DROPPERS_MAINTENANCE,4,0.782,2165,131,1,1,130,25.5,0,1.094,0.485,65,93,2.72
HIST-JOB-00019,AST-TRD-0051,SEC-GZB-ALJN-DN,TRD,INSULATOR_WASHING_AND_REPLACEMENT,4,0.44,457,347,1,1,140,106.0,0,1.057,0.627,33,76,4.32
HIST-JOB-00020,AST-ENG-0143,SEC-GZB-ALJN-DN,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.868,1449,65,0,2,140,106.0,0,1.11,0.499,65,95,2.86
HIST-JOB-00021,AST-S_A-0086,SEC-NDLS-GZB-DN,S_AND_T,SIGNAL_LED_ASPECT_REPLACEMENT,3,0.948,461,35,2,0,130,25.5,1,1.07,0.25,20,42,0.82
HIST-JOB-00022,AST-S_A-0136,SEC-GZB-ALJN-DN,S_AND_T,AXLE_COUNTER_OUTDOOR_HEAD_TESTING,4,0.927,2031,119,2,2,140,106.0,1,0.745,0.315,22,52,1.25
HIST-JOB-00023,AST-S_A-0161,SEC-GZB-ALJN-UP,S_AND_T,SIGNAL_LED_ASPECT_REPLACEMENT,3,0.98,2053,89,2,0,140,106.0,1,0.5,0.26,34,44,0.89
HIST-JOB-00024,AST-ENG-0096,SEC-NDLS-GZB-UP,ENGINEERING,TURNOUT_SWITCH_RENEWAL,5,0.476,2012,267,0,2,130,25.5,1,1.163,0.696,68,92,5.21
